"Año","Producto / Hito","Categoría","Origen (País)","Empresa / Organización","Diseñador / Inventor / Personas clave","Ventajas para el usuario","Desventajas para el usuario","Situación de la industria musical","Contexto social / político / cultural","Verificar antes de citar"
"1954","Regency TR-1","Radio portátil de transistores","Estados Unidos","Regency Division de I.D.E.A. (con transistores de Texas Instruments)","Richard Koch (diseño industrial); ingenieros de I.D.E.A. y TI","Tamaño de bolsillo; primer radio de transistores de venta masiva; sin tiempo de calentamiento de bulbos; escucha privada con audífono; objeto de estatus","Unos 50 dólares al lanzamiento (un gasto fuerte en su época); sonido delgado y metálico; baterías costosas; recepción débil","La radio y las rockolas impulsan los éxitos; dominan los sencillos de 78 y 45 rpm; el rock and roll y el R&B se abren paso mientras el gusto adolescente se separa del de los padres","Guerra Fría y auge del consumo de posguerra; Brown vs. Junta de Educación (1954); primeras sesiones de Elvis en Sun Records; los adolescentes obtienen una banda sonora privada lejos del radio familiar","El mes exacto de lanzamiento (finales de 1954) y el crédito de diseño varían según la fuente"
"1963","Casete compacto (cassette)","Formato de grabación y reproducción","Países Bajos","Philips","Lou Ottens (dirigió el equipo de desarrollo)","Grabable; pequeño; más resistente que el vinilo; intercambiable; más tarde permitió escuchar música en el auto y dio origen a la cultura del mixtape","Siseo de cinta; desgaste y estiramiento de la cinta; acceso secuencial (rebobinar y adelantar); la fidelidad inicial era apenas suficiente para voz","Los LP y los sencillos de 45 rpm dominan; el casete se planteó al inicio para dictado; Philips lo licenció sin regalías, lo que difundió el estándar en todo el mundo","Marcha sobre Washington y asesinato de JFK (1963); a punto de comenzar la Beatlemanía; tensión de Guerra Fría tras la Crisis de los Misiles en Cuba; competencia europea en electrónica de consumo de posguerra","Confirmar la fecha de presentación en la Feria de Radio de Berlín"
"1977","Stereobelt","Reproductor portátil de casete estéreo con audífonos","Alemania / Brasil (origen del inventor); primera patente registrada en Italia","Inventor independiente (sin gran fabricante)","Andreas Pavel","Estéreo portátil con audífonos ligeros, años antes del Walkman","Pavel nunca lo produjo en masa; sin respaldo de un gran fabricante; la unidad de cinturón era incómoda","Auge de la era del LP de vinilo y del casete; furor de la música disco (Fiebre de sábado por la noche, 1977); altas ventas de discos antes de la caída de 1979-82","Surge el punk (1977); muere Elvis; Brasil bajo dictadura militar; Pavel luchó después contra Sony por su reconocimiento y llegó a un acuerdo tras una larga disputa legal","Fechas y países de las patentes, y términos y año del acuerdo: consultar registros judiciales y de patentes"
"1979","Sony Walkman TPS-L2","Reproductor portátil de casete","Japón","Sony","Masaru Ibuka (concepto), Akio Morita (impulsor), Kozo Ohsone y Nobutoshi Kihara (ingeniería); el crédito de diseño varía según la fuente","Estéreo de bolsillo; excelente sonido con audífonos; eficiente con las pilas; creó la escucha móvil y privada; mixtapes; accesible para el mercado masivo; NOTA DE INTENCIÓN DE DISEÑO: el TPS-L2 original tenía dos entradas para audífonos y un botón 'hotline' con micrófono integrado para que dos personas compartieran una cinta y hablaran por encima de la música (según se reporta, a Sony le preocupaba que un reproductor individual se sintiera antisocial); los modelos posteriores lo eliminaron cuando la escucha individual se volvió la norma","Desgaste de la cinta, siseo y enredos; aún voluminoso comparado con reproductores posteriores; fuga de sonido; criticado después por aislar socialmente (irónico, dado el diseño original de dos entradas para compartir)","La música grabada cae en 1979-82 (rechazo a la disco, recesión, temor a la copia casera; campaña 'Home Taping Is Killing Music' de la BPI, 1981); el Walkman ayuda a que el casete supere al vinilo a principios de los ochenta","Revolución iraní y segunda crisis petrolera (1979); Thatcher gana las elecciones; ascenso de la electrónica japonesa y ansiedad occidental por el auge de Japón; individualismo creciente y preocupación por personas 'desconectadas' en el espacio público","Los créditos individuales de diseño e ingeniería están en disputa; lanzado en julio de 1979 en Japón; nombres alternos en el extranjero (Soundabout, Stowaway) antes de unificarse como 'Walkman'; confirmar los detalles de las dos entradas y del botón hotline, y la motivación reportada de los fundadores; el Walkman Sports amarillo resistente al agua fue una línea posterior (principios de los ochenta): confirmar modelo y fechas"
"1984","Sony Discman D-50","Reproductor portátil de CD","Japón","Sony","Equipo de ingeniería de Sony (créditos individuales no establecidos con firmeza)","Sonido digital limpio; sin siseo de cinta; discos duraderos; salto instantáneo de pista","Se saltaba con los movimientos; alto consumo de pilas; voluminoso; unos 300 dólares al lanzamiento; los CD eran caros","El CD se lanza en 1982-83; la transición de formato impulsa los ingresos de las disqueras porque los fans vuelven a comprar catálogos; el CD supera después al vinilo y al casete","Consumismo de la era Reagan; era de MTV; tensión de Guerra Fría; 1984 de Orwell; la Apple Macintosh (enero de 1984) marca la identidad de la tecnología personal","Revisar el precio de lanzamiento y el nombre exacto del modelo (D-50 vs. D-5)"
"1992","MiniDisc","Formato de disco óptico grabable y reproductores","Japón","Sony","Equipo de ingeniería de Sony (créditos individuales no establecidos con firmeza)","Grabable y regrabable; memoria anti-salto; discos compactos en cartucho; edición fácil de pistas; sonido casi de CD","Compresión ATRAC criticada; formato propietario; transferencias lentas en tiempo real al inicio; costo de los discos; mercado limitado fuera de Japón y partes de Europa","El CD domina; la industria impulsa el control de copias (Ley de Grabación Doméstica de Audio de EE. UU., 1992; SCMS); el Digital Compact Cassette de Philips, lanzado el mismo año, fracasó","Optimismo tras la Guerra Fría; el grunge (Nevermind de Nirvana) transforma la música; disturbios de Los Ángeles; Tratado de Maastricht; internet público incipiente","Confirmar quién dirigió el equipo de diseño del MiniDisc"
"1993","MP3 (MPEG-1 Capa III) estandarizado","Formato de compresión de audio","Alemania","Fraunhofer IIS y Universidad de Erlangen-Núremberg; estándar ISO/MPEG","Karlheinz Brandenburg (líder), Bernhard Grill, Dieter Seitzer, Heinz Gerhäuser; comité MPEG presidido por Leonardo Chiariglione","Archivos unas 10 veces más pequeños; calidad casi de CD a 128 kbps; fácil de compartir y almacenar","Compresión con pérdida; la codificación inicial era lenta; sin DRM integrado; la calidad depende de la tasa de bits; licencias de patentes","Las ventas de CD crecen a gran velocidad; la industria no estaba preparada para la copia de archivos; la extensión .mp3 se adoptó en 1995","La World Wide Web se abre al público (1993); se crea la Unión Europea; cultura de internet incipiente y utopismo digital; gangsta rap y grunge en las listas","Las fechas de estandarización y de primera publicación difieren (ISO 1993; extensión 1995)"
"1997","Winamp","Software reproductor de MP3 para computadora","Estados Unidos","Nullsoft (adquirida por AOL en 1999)","Justin Frankel y Dmitry Boldyrev","Gratuito o barato; rápido; skins personalizables; ecosistema de plugins; hizo fácil el MP3 en la PC","Solo para Windows; requería archivos extraídos de CD o descargados; gestión desordenada de archivos y etiquetas","Las ventas de CD suben hacia el pico de 1999-2000; los archivos MP3 comienzan a circular por IRC y sitios web","Auge de las puntocom; entrega de Hong Kong; muerte de la princesa Diana; cultura incipiente de personalización ('skins')","Confirmar el año de la adquisición por AOL y el papel de Boldyrev"
"1998","MPMan F10","Reproductor MP3 de memoria flash","Corea del Sur","SaeHan Information Systems","Equipo de ingeniería de SaeHan (créditos individuales poco claros)","Sin partes móviles, así que no se salta; ligero; de los primeros reproductores MP3 de memoria flash","Unos 32 MB (alrededor de 8 canciones); transferencia lenta por puerto paralelo; software torpe; caro","El CD sigue siendo el rey; las disqueras se alarman por el MP3; se forma la Secure Digital Music Initiative (SDMI) en 1998","Crisis financiera asiática y rescate del FMI en Corea; auge de internet; se firma la DMCA en EE. UU. (oct. 1998)","Se discute si salió primero el MPMan o el Rio: revisar fechas de lanzamiento y capacidad"
"1998","Diamond Rio PMP300","Reproductor MP3 de memoria flash","Estados Unidos","Diamond Multimedia (marca Rio)","Equipo de ingeniería de Diamond Multimedia (créditos individuales no establecidos)","Pequeño; sin saltos; muy vendido en EE. UU.; ayudó a popularizar la idea de un reproductor de música digital","Alrededor de 60 minutos de música a baja tasa de bits; software de transferencia torpe; costoso (unos 200 dólares)","La RIAA demandó a Diamond en 1998 bajo la Ley de Grabación Doméstica de Audio; los tribunales fallaron a favor de Diamond (medida cautelar negada en 1998; Noveno Circuito en 1999), lo que legitimó a los reproductores MP3","Juicio político a Clinton; DMCA y Ley Sonny Bono de Extensión del Plazo de Derechos de Autor (1998); se funda Google","Confirmar fechas judiciales y precio de lanzamiento"
"1999","Napster","Software de intercambio de archivos entre pares (P2P)","Estados Unidos","Napster Inc.","Shawn Fanning y Sean Parker","Enorme catálogo gratuito; descubrimiento instantáneo; canciones raras o descatalogadas","Riesgo legal; calidad de archivo variable; exposición a malware; artistas sin pago","Las ventas de música grabada en EE. UU. alcanzan su pico hacia 1999-2000; las disqueras demandan (A&M vs. Napster, dic. 1999; Metallica, 2000); Napster cierra en julio de 2001","Ansiedad por el Y2K; protestas contra la OMC en Seattle; Columbine; ética de compartir en internet; debate sobre propiedad intelectual y pago a los artistas","Cifras del pico de ingresos: verificar con datos de la RIAA y la IFPI"
"2000","Creative Nomad Jukebox","Reproductor MP3 de disco duro","Singapur","Creative Technology","Sim Wong Hoo (fundador) y equipo de ingeniería de Creative","Unos 6 GB (aproximadamente 1,500 canciones); gran capacidad para su época","Del tamaño de un reproductor portátil de CD; unos 500 dólares; transferencias lentas por USB 1.1; batería de corta duración; interfaz torpe","Napster en su máximo uso; comienzan a caer las ventas; las disqueras impulsan SDMI y las marcas de agua","Estalla la burbuja puntocom; elección presidencial disputada en EE. UU. (Bush vs. Gore)","Reproductor anterior de disco duro: Compaq/HanGo PJB-100 (1999); revisar la cronología"
"2001","Apple iPod (1.ª generación)","Reproductor de audio digital de disco duro","Estados Unidos","Apple","Tony Fadell y Jon Rubinstein (liderazgo de hardware), Jonathan Ive (diseño industrial), Phil Schiller (a menudo se le atribuye la idea de la rueda de desplazamiento); PortalPlayer (plataforma), Toshiba (disco de 1.8 pulgadas)","5 GB (unas 1,000 canciones); sincronización rápida por FireWire; rueda de desplazamiento sencilla; batería duradera; diseño elegante","Solo para Mac al lanzamiento; 399 dólares; propenso a rayarse; sin soporte para Windows hasta 2002; batería no reemplazable por el usuario","Napster cierra (julio de 2001); surgen Kazaa y otros servicios P2P; las ventas de CD comienzan una larga caída; Apple posiciona al iPod como opción legal","Lanzado el 23 de octubre de 2001, seis semanas después del 11-S; desaceleración económica en EE. UU. y guerra en Afganistán; el iPod como ícono tecnológico reconfortante; regreso de Apple bajo Jobs","Confirmar los créditos individuales de diseño (Fadell, Rubinstein, Ive, Schiller)"
"2003","iTunes Music Store","Tienda de música digital (DRM: FairPlay)","Estados Unidos","Apple","Steve Jobs (encabezó las negociaciones con las disqueras), Eddy Cue","0.99 dólares por canción; legal; sencillo; integración estrecha con el iPod","El DRM FairPlay ataba las compras a dispositivos de Apple; catálogo pequeño al inicio; solo para Mac al principio (Windows en octubre de 2003)","Despegan las descargas digitales legales; las disqueras desconfían del poder de Apple; la RIAA empieza a demandar a usuarios individuales (septiembre de 2003)","Invasión de Irak (marzo de 2003); brote de SARS; debate sobre DRM y derechos del consumidor","Fecha de lanzamiento (28 de abril de 2003) y tamaño inicial del catálogo"
"2004-2005","iPod mini, iPod shuffle, iPod nano","Familia de reproductores de disco duro y memoria flash","Estados Unidos","Apple","Equipo de diseño de Apple encabezado por Jonathan Ive","Más baratos y pequeños; los modelos flash no se saltan; el nano es muy delgado; el shuffle es muy económico","El shuffle no tiene pantalla; atadura del DRM; batería no reemplazable por el usuario; capacidad limitada del mini","Las descargas digitales crecen pero el CD sigue dominando; continúa la piratería P2P; las disqueras dependen cada vez más de iTunes","Se funda Facebook (2004); la 'generación iPod' y la campaña publicitaria de siluetas; polémica por basura electrónica y baterías tras el video 'iPod's Dirty Secret' (2003), que llevó a Apple a crear un programa de baterías","Fechas de lanzamiento exactas y capacidades de los modelos"
"2005","iPod (5.ª generación, 'iPod con video')","Reproductor de audio digital con video","Estados Unidos","Apple","Equipo de diseño de Apple encabezado por Jonathan Ive","Pantalla a color; video y programas de TV; fotos","Pantalla diminuta; catálogo de video limitado; propenso a rayarse","iTunes empieza a vender programas de TV (1.99 dólares); YouTube se lanza en 2005","Huracán Katrina; Web 2.0 y contenido generado por usuarios; auge de los podcasts (directorio de podcasts de iTunes, 2005)","Fecha de lanzamiento (octubre de 2005) y precios de los programas de TV"
